actor_id,first_name,last_name,last_update,tlf
61,CHRISTIAN,NEESON,2006-02-15 04:34:33,4784
62,JAYNE,NEESON,-1,5555
63,CAMERON,WRAY,-1,NULL
64,RAY,JOHANSSON,2006-02-15 04:34:33,1234
65,ANGELA,HUDSON,2006-02-15 04:34:33,8976
66,MARY,TANDY,2006-02-15 04:34:33,2356
67,JESSICA,BAILEY,-1,NULL
68,RIP,WINSLET,2006-02-15 04:34:33,NULL
69,KENNETH,PALTROW,2006-02-15 04:34:33,NULL
70,MICHELLE,MCCONAUGHEY,2006-02-15 04:34:33,NULL
71,ADAM,GRANT,2006-02-15 04:34:33,NULL
72,SEAN,WILLIAMS,2006-02-15 04:34:33,NULL
73,GARY,PENN,2006-02-15 04:34:33,NULL
74,MILLA,KEITEL,2006-02-15 04:34:33,NULL
75,BURT,POSEY,2006-02-15 04:34:33,NULL
76,ANGELINA,ASTAIRE,2006-02-15 04:34:33,NULL
77,CARY,MCCONAUGHEY,2006-02-15 04:34:33,NULL
78,GROUCHO,SINATRA,2006-02-15 04:34:33,NULL
79,MAE,HOFFMAN,2006-02-15 04:34:33,NULL
80,RALPH,CRUZ,2006-02-15 04:34:33,NULL
81,SCARLETT,DAMON,2006-02-15 04:34:33,NULL
82,WOODY,JOLIE,2006-02-15 04:34:33,NULL
83,BEN,WILLIS,2006-02-15 04:34:33,NULL
84,JAMES,PITT,2006-02-15 04:34:33,NULL
85,MINNIE,ZELLWEGER,2006-02-15 04:34:33,NULL
86,GREG,CHAPLIN,2006-02-15 04:34:33,NULL
87,SPENCER,PECK,2006-02-15 04:34:33,NULL
88,KENNETH,PESCI,2006-02-15 04:34:33,NULL
89,CHARLIZE,DENCH,2006-02-15 04:34:33,NULL
90,SEAN,GUINESS,2006-02-15 04:34:33,NULL
91,CHRISTOPHER,BERRY,2006-02-15 04:34:33,NULL
92,KIRSTEN,AKROYD,2006-02-15 04:34:33,NULL
93,ELLEN,PRESLEY,2006-02-15 04:34:33,NULL
94,KENNETH,TORN,2006-02-15 04:34:33,NULL
95,DARYL,WAHLBERG,2006-02-15 04:34:33,NULL
96,GENE,WILLIS,2006-02-15 04:34:33,NULL
97,MEG,HAWKE,2006-02-15 04:34:33,NULL
98,CHRIS,BRIDGES,2006-02-15 04:34:33,NULL
99,JIM,MOSTEL,2006-02-15 04:34:33,NULL
100,SPENCER,DEPP,2006-02-15 04:34:33,NULL
101,SUSAN,DAVIS,2006-02-15 04:34:33,NULL
102,WALTER,TORN,2006-02-15 04:34:33,NULL
103,MATTHEW,LEIGH,2006-02-15 04:34:33,NULL
104,PENELOPE,CRONYN,2006-02-15 04:34:33,NULL
105,SIDNEY,CROWE,2006-02-15 04:34:33,NULL
106,GROUCHO,DUNST,2006-02-15 04:34:33,NULL
107,GINA,DEGENERES,2006-02-15 04:34:33,NULL
108,WARREN,NOLTE,2006-02-15 04:34:33,NULL
109,SYLVESTER,DERN,2006-02-15 04:34:33,NULL
110,SUSAN,DAVIS,2006-02-15 04:34:33,NULL
